最大值,59.4,@,No.1283,,,,,,
最小值,-2.0,@,No.2232,,,,,,
平均值,20.01,,,,,,,,
次数,2493,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
382,14.0,N,0.000,mm,OK,--,15:17:36,2024/3/1,
383,14.0,N,0.000,mm,OK,--,15:17:36,2024/3/1,
384,14.1,N,0.000,mm,OK,--,15:17:36,2024/3/1,
385,14.1,N,0.000,mm,OK,--,15:17:36,2024/3/1,
386,14.1,N,0.000,mm,OK,--,15:17:36,2024/3/1,
387,14.2,N,0.000,mm,OK,--,15:17:37,2024/3/1,
388,14.2,N,0.000,mm,OK,--,15:17:37,2024/3/1,
389,14.3,N,0.000,mm,OK,--,15:17:37,2024/3/1,
390,14.3,N,0.000,mm,OK,--,15:17:37,2024/3/1,
391,14.3,N,0.000,mm,OK,--,15:17:37,2024/3/1,
392,14.4,N,0.000,mm,OK,--,15:17:37,2024/3/1,
393,14.4,N,0.000,mm,OK,--,15:17:37,2024/3/1,
394,14.4,N,0.000,mm,OK,--,15:17:37,2024/3/1,
395,14.4,N,0.000,mm,OK,--,15:17:37,2024/3/1,
